,0
北京市海淀区万柳,0.33545780498965155
北京市海淀区上地,61.21424959023999
北京市海淀区上庄,0.8035121072218342
北京市海淀区中关村,60.86179223432181
北京市海淀区五棵松,32.734335267976675
北京市海淀区五道口,159.975973968021
北京市海淀区公主坟/万寿路,33.53331416161756
北京市海淀区农业大学西区,16.439699051283398
北京市海淀区北下关,39.210030868351225
北京市海淀区北京西站/军博,8.823900235302117
北京市海淀区双榆树,19.33302261931914
北京市海淀区古城/八角,0.9338419976738948
北京市海淀区四季青,26.647362732167824
北京市海淀区大钟寺,0.08159784445694226
北京市海淀区清河,45.57352943259749
北京市海淀区牡丹园/北太平庄,70.94365923833512
北京市海淀区知春路,40.90771935441372
北京市海淀区紫竹桥,35.95518351723542
北京市海淀区航天桥,7.571599983567101
北京市海淀区苏州桥,16.614227774149633
北京市海淀区西三旗,8.091786241980108
北京市海淀区西北旺,10.546521396059788
北京市海淀区远大路,54.34303110492831
北京市海淀区颐和园,30.176469504930576
北京市海淀区香山/植物园,9.322553729205653
北京市海淀区魏公村,9.025628239654003
